طابع زمني,Q1. What type of problem excites you the most,"Q2. In a team project, which role feels most, you","Q3. When you see a new technology, your first thought is",Q4. Which type of course would you enjoy most,Q5. Which challenge sounds more fun,Q6. What type of tools do you like working with,Q7. Which subject did you enjoy most,"Q8. Imagine your future job, what excites you more",:Q9. Your favorite type of project would be,Q10. Which statement describes you best,"Q11 (Final – Label): Based on your answers, which major interests you most",Check
3:05:41 م 2025/09/26,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I build something useful with this?,UI/UX and Interaction Design,Developing a multiplayer game,"Excel, PowerBI, Jupyter Notebooks",Mathematics and Logic,Developing useful applications,3D game with interactive levels,“I like finding patterns in numbers and data”,Data Science / Analytics,KEEP
7:40:24 م 2025/09/26,Deploying systems and making them scalable,Writing the algorithm that makes it smart,What data can I gather and analyze from this?,Data Science and Big Data Analytics,Designing a smooth checkout flow for an e-commerce app,"Figma, Adobe XD",Mathematics and Logic,Protecting systems from attacks,UI redesign of a popular app,“I like finding patterns in numbers and data”,Data Science / Analytics,KEEP
7:41:32 م 2025/09/26,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Arts and Creative Design,Designing experiences people like,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
7:49:35 م 2025/09/26,Creating smooth and beautiful interfaces,Designing how users will interact with it,How do I deploy this in the cloud?,Web/App Development,Automating deployment to multiple servers,"Wireshark, Kali Linux",Statistics and Analysis,Turning data into business decisions,AI-based recommendation system,“I enjoy building things people can use”,UI/UX Design,KEEP
7:55:51 م 2025/09/26,Building an app or website that people can use,Designing how users will interact with it,How can I make it look and feel amazing?,Web/App Development,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Computer Programming,Developing useful applications,UI redesign of a popular app,“I care about how apps look and feel”,Application / Web Development,KEEP
7:55:55 م 2025/09/26,Finding security flaws before hackers do,Building the main functionality of the app,How can I build something useful with this?,UI/UX and Interaction Design,Designing a smooth checkout flow for an e-commerce app,"React, Flutter, Node.js",Security and Risk,Developing useful applications,AI-based recommendation system,“I always think about security and risks”,Game Development,KEEP
7:59:59 م 2025/09/26,Deploying systems and making them scalable,Writing the algorithm that makes it smart,How can I build something useful with this?,Cloud Computing and DevOps,Predicting future sales using past data,"Excel, PowerBI, Jupyter Notebooks",Computer Programming,Turning data into business decisions,Data dashboard for decision makers,“I enjoy building things people can use”,Data Science / Analytics,KEEP
8:00:25 م 2025/09/26,Finding security flaws before hackers do,Designing game mechanics and levels,How secure is this? Can it be hacked?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Mathematics and Logic,Developing useful applications,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
8:05:57 م 2025/09/26,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,Web/App Development,Creating a to-do list app that everyone likes,"React, Flutter, Node.js",Computer Programming,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
8:06:57 م 2025/09/26,Building an app or website that people can use,Designing game mechanics and levels,How secure is this? Can it be hacked?,Web/App Development,Building a chatbot that understands users,"Unity, Unreal Engine",Arts and Creative Design,Designing experiences people like,3D game with interactive levels,“I enjoy designing and making fun experiences”,Application / Web Development,KEEP
8:44:26 م 2025/09/26,Creating smooth and beautiful interfaces,Making sure it’s safe and protected,Can I make a game with this tech?,Machine Learning and AI,Stopping a simulated cyber-attack,"Figma, Adobe XD",Arts and Creative Design,Building AI solutions,Penetration testing of a company network,“I care about how apps look and feel”,Cybersecurity,KEEP
8:55:14 م 2025/09/26,Teaching a computer to learn and make predictions,Making sure it’s safe and protected,How can I build something useful with this?,Web/App Development,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Arts and Creative Design,Designing experiences people like,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
1:52:47 م 2025/09/27,Finding security flaws before hackers do,Making sure it’s safe and protected,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Security and Risk,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
1:55:58 م 2025/09/27,Creating smooth and beautiful interfaces,Writing the algorithm that makes it smart,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Arts and Creative Design,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
2:14:07 م 2025/09/27,Building an app or website that people can use,Building the main functionality of the app,How can I make it look and feel amazing?,Web/App Development,Designing a smooth checkout flow for an e-commerce app,"React, Flutter, Node.js",Computer Programming,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
2:18:22 م 2025/09/27,Discovering hidden insights from big datasets,Collecting data and analyzing the results,What data can I gather and analyze from this?,Data Science and Big Data Analytics,Predicting future sales using past data,"Excel, PowerBI, Jupyter Notebooks",Statistics and Analysis,Turning data into business decisions,Data dashboard for decision makers,“I like finding patterns in numbers and data”,Data Science / Analytics,KEEP
2:20:15 م 2025/09/27,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Building AI solutions,AI-based recommendation system,“I enjoy designing and making fun experiences”,Artificial Intelligence / Machine Learning,KEEP
2:32:17 م 2025/09/27,Building an app or website that people can use,Designing how users will interact with it,How can I build something useful with this?,UI/UX and Interaction Design,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Computer Programming,Designing experiences people like,UI redesign of a popular app,“I care about how apps look and feel”,UI/UX Design,KEEP
2:50:09 م 2025/09/27,Finding security flaws before hackers do,Collecting data and analyzing the results,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Security and Risk,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
3:39:43 م 2025/09/27,Deploying systems and making them scalable,Setting up servers and automating deployment,How do I deploy this in the cloud?,Cloud Computing and DevOps,Automating deployment to multiple servers,"Docker, Kubernetes, AWS",Networking and Systems,Managing infrastructure for millions of users,Scalable cloud service deployment,“I like managing systems and automating processes”,Cloud Computing / DevOps,KEEP
3:52:06 م 2025/09/27,Building an app or website that people can use,Writing the algorithm that makes it smart,How can I build something useful with this?,Web/App Development,Designing a smooth checkout flow for an e-commerce app,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
5:02:32 م 2025/09/27,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I make this learn by itself?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Building AI solutions,3D game with interactive levels,“I enjoy building things people can use”,Application / Web Development,KEEP
6:21:49 م 2025/09/27,Building an app or website that people can use,Designing game mechanics and levels,Can I make a game with this tech?,Game Design and Development,Developing a multiplayer game,"Excel, PowerBI, Jupyter Notebooks",Physics and Game Mechanics,Creating entertaining games,3D game with interactive levels,“I enjoy building things people can use”,Game Development,KEEP
7:16:57 م 2025/09/27,Creating smooth and beautiful interfaces,Writing the algorithm that makes it smart,How secure is this? Can it be hacked?,Game Design and Development,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Creating entertaining games,UI redesign of a popular app,"“I think logically and love algorithms""",Game Development,KEEP
9:08:21 م 2025/09/28,Discovering hidden insights from big datasets,Writing the algorithm that makes it smart,How can I make this learn by itself?,Machine Learning and AI,Designing a smooth checkout flow for an e-commerce app,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Creating entertaining games,3D game with interactive levels,“I always think about security and risks”,Game Development,KEEP
10:24:01 م 2025/09/28,Building an app or website that people can use,Designing how users will interact with it,How secure is this? Can it be hacked?,UI/UX and Interaction Design,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Arts and Creative Design,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
10:37:04 م 2025/09/28,Creating smooth and beautiful interfaces,Building the main functionality of the app,Can I make a game with this tech?,Web/App Development,Designing a smooth checkout flow for an e-commerce app,"Unity, Unreal Engine",Mathematics and Logic,Designing experiences people like,Data dashboard for decision makers,"“I think logically and love algorithms""",Cloud Computing / DevOps,KEEP
11:46:03 م 2025/09/28,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I make it look and feel amazing?,UI/UX and Interaction Design,Developing a multiplayer game,"React, Flutter, Node.js",Arts and Creative Design,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,UI/UX Design,KEEP
2:05:46 م 2025/09/29,Building an app or website that people can use,Writing the algorithm that makes it smart,How can I build something useful with this?,Cybersecurity and Ethical Hacking,Creating a to-do list app that everyone likes,"Excel, PowerBI, Jupyter Notebooks",Arts and Creative Design,Creating entertaining games,Penetration testing of a company network,“I always think about security and risks”,Game Development,KEEP
1:47:41 م 2025/10/03,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I build something useful with this?,UI/UX and Interaction Design,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Arts and Creative Design,Designing experiences people like,Penetration testing of a company network,“I like finding patterns in numbers and data”,Application / Web Development,KEEP
2:09:14 م 2025/10/03,Designing fun and interactive games,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Arts and Creative Design,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
3:21:05 م 2025/10/03,Designing fun and interactive games,Making sure it’s safe and protected,How can I make this learn by itself?,Game Design and Development,Building a chatbot that understands users,"Figma, Adobe XD",Computer Programming,Developing useful applications,3D game with interactive levels,“I enjoy designing and making fun experiences”,Application / Web Development,KEEP
3:45:10 م 2025/10/03,Creating smooth and beautiful interfaces,Designing how users will interact with it,What data can I gather and analyze from this?,Machine Learning and AI,Creating a to-do list app that everyone likes,"Python, ML libraries (TensorFlow, PyTorch)",Security and Risk,Building AI solutions,UI redesign of a popular app,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
4:47:53 م 2025/10/03,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,Web/App Development,Designing a smooth checkout flow for an e-commerce app,"React, Flutter, Node.js",Mathematics and Logic,Developing useful applications,AI-based recommendation system,“I like managing systems and automating processes”,Artificial Intelligence / Machine Learning,KEEP
5:59:17 م 2025/10/03,Building an app or website that people can use,Building the main functionality of the app,How can I make it look and feel amazing?,Web/App Development,Creating a to-do list app that everyone likes,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Designing experiences people like,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
3:08:56 م 2025/10/06,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I build something useful with this?,Machine Learning and AI,Predicting future sales using past data,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Developing useful applications,AI-based recommendation system,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
3:36:48 م 2025/10/06,Finding security flaws before hackers do,Making sure it’s safe and protected,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Arts and Creative Design,Designing experiences people like,UI redesign of a popular app,“I enjoy building things people can use”,UI/UX Design,KEEP
5:03:07 م 2025/10/06,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,What data can I gather and analyze from this?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Building AI solutions,AI-based recommendation system,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
5:06:34 م 2025/10/06,Deploying systems and making them scalable,Designing game mechanics and levels,Can I make a game with this tech?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Physics and Game Mechanics,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
5:36:05 م 2025/10/06,Building an app or website that people can use,Setting up servers and automating deployment,How can I build something useful with this?,Machine Learning and AI,Stopping a simulated cyber-attack,"Excel, PowerBI, Jupyter Notebooks",Security and Risk,Developing useful applications,3D game with interactive levels,“I always think about security and risks”,Game Development,KEEP
12:06:31 ص 2025/10/07,Building an app or website that people can use,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Developing a multiplayer game,"Figma, Adobe XD",Arts and Creative Design,Developing useful applications,3D game with interactive levels,“I enjoy designing and making fun experiences”,Application / Web Development,KEEP
7:30:25 م 2025/10/07,Designing fun and interactive games,Designing game mechanics and levels,How can I build something useful with this?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Arts and Creative Design,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
7:20:26 ص 2025/10/08,Finding security flaws before hackers do,Building the main functionality of the app,How can I build something useful with this?,Machine Learning and AI,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
11:49:09 ص 2025/10/08,Teaching a computer to learn and make predictions,Designing game mechanics and levels,How can I make this learn by itself?,Data Science and Big Data Analytics,Predicting future sales using past data,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
1:56:55 م 2025/10/08,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,Data Science and Big Data Analytics,Creating a to-do list app that everyone likes,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Turning data into business decisions,E-commerce website or mobile app,“I enjoy building things people can use”,Data Science / Analytics,KEEP
2:17:30 م 2025/10/09,Designing fun and interactive games,Building the main functionality of the app,Can I make a game with this tech?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Arts and Creative Design,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
3:11:34 ص 2025/10/10,Deploying systems and making them scalable,Writing the algorithm that makes it smart,How can I make it look and feel amazing?,Machine Learning and AI,Creating a to-do list app that everyone likes,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Building AI solutions,3D game with interactive levels,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
3:24:30 ص 2025/10/10,Building an app or website that people can use,Writing the algorithm that makes it smart,How can I build something useful with this?,Web/App Development,Designing a smooth checkout flow for an e-commerce app,"React, Flutter, Node.js",Computer Programming,Developing useful applications,AI-based recommendation system,“I enjoy building things people can use”,Application / Web Development,KEEP
12:21:00 م 2025/10/10,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I make this learn by itself?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Building AI solutions,AI-based recommendation system,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
9:19:54 م 2025/10/10,Teaching a computer to learn and make predictions,Building the main functionality of the app,How can I build something useful with this?,Machine Learning and AI,Designing a smooth checkout flow for an e-commerce app,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Building AI solutions,Data dashboard for decision makers,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
9:43:50 م 2025/10/10,Discovering hidden insights from big datasets,Collecting data and analyzing the results,What data can I gather and analyze from this?,Data Science and Big Data Analytics,Predicting future sales using past data,"Excel, PowerBI, Jupyter Notebooks",Statistics and Analysis,Turning data into business decisions,Data dashboard for decision makers,“I like finding patterns in numbers and data”,Data Science / Analytics,KEEP
9:57:01 م 2025/10/10,Discovering hidden insights from big datasets,Building the main functionality of the app,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Docker, Kubernetes, AWS",Networking and Systems,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
10:23:41 م 2025/10/10,Teaching a computer to learn and make predictions,Building the main functionality of the app,How can I make this learn by itself?,Machine Learning and AI,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Mathematics and Logic,Building AI solutions,Data dashboard for decision makers,“I care about how apps look and feel”,Data Science / Analytics,KEEP
10:59:55 م 2025/10/10,Teaching a computer to learn and make predictions,Building the main functionality of the app,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Excel, PowerBI, Jupyter Notebooks",Statistics and Analysis,Turning data into business decisions,Data dashboard for decision makers,“I enjoy building things people can use”,Data Science / Analytics,KEEP
11:10:30 م 2025/10/10,Building an app or website that people can use,Writing the algorithm that makes it smart,How can I build something useful with this?,Web/App Development,Creating a to-do list app that everyone likes,"React, Flutter, Node.js",Computer Programming,Protecting systems from attacks,3D game with interactive levels,“I enjoy building things people can use”,Game Development,KEEP
11:12:01 م 2025/10/10,Building an app or website that people can use,Designing how users will interact with it,How can I build something useful with this?,Web/App Development,Building a chatbot that understands users,"React, Flutter, Node.js",Computer Programming,Developing useful applications,UI redesign of a popular app,“I enjoy building things people can use”,Application / Web Development,KEEP
9:23:02 ص 2025/10/11,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Developing a multiplayer game,"Figma, Adobe XD",Computer Programming,Developing useful applications,E-commerce website or mobile app,“I enjoy designing and making fun experiences”,Application / Web Development,KEEP
10:59:46 ص 2025/10/11,Finding security flaws before hackers do,Making sure it’s safe and protected,How do I deploy this in the cloud?,Machine Learning and AI,Automating deployment to multiple servers,"Python, ML libraries (TensorFlow, PyTorch)",Security and Risk,Managing infrastructure for millions of users,AI-based recommendation system,“I like managing systems and automating processes”,Game Development,KEEP
1:26:24 م 2025/10/11,Deploying systems and making them scalable,Making sure it’s safe and protected,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Predicting future sales using past data,"Wireshark, Kali Linux",Networking and Systems,Protecting systems from attacks,Scalable cloud service deployment,“I always think about security and risks”,Cybersecurity,KEEP
2:15:49 م 2025/10/11,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,Web/App Development,Automating deployment to multiple servers,"Docker, Kubernetes, AWS",Computer Programming,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
4:58:34 م 2025/10/11,Building an app or website that people can use,Setting up servers and automating deployment,How can I build something useful with this?,Data Science and Big Data Analytics,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Statistics and Analysis,Turning data into business decisions,Data dashboard for decision makers,“I like finding patterns in numbers and data”,Data Science / Analytics,KEEP
7:17:13 م 2025/10/12,Teaching a computer to learn and make predictions,Collecting data and analyzing the results,How can I make this learn by itself?,Machine Learning and AI,Building a chatbot that understands users,"Wireshark, Kali Linux",Mathematics and Logic,Building AI solutions,E-commerce website or mobile app,“I always think about security and risks”,UI/UX Design,KEEP
7:18:04 م 2025/10/17,Finding security flaws before hackers do,Collecting data and analyzing the results,How do I deploy this in the cloud?,Cloud Computing and DevOps,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Arts and Creative Design,Protecting systems from attacks,Scalable cloud service deployment,“I always think about security and risks”,Cloud Computing / DevOps,KEEP
11:51:47 م 2025/10/17,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Arts and Creative Design,Building AI solutions,Data dashboard for decision makers,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
1:00:10 م 2025/10/19,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I make it look and feel amazing?,Cloud Computing and DevOps,Automating deployment to multiple servers,"React, Flutter, Node.js",Statistics and Analysis,Creating entertaining games,UI redesign of a popular app,“I like finding patterns in numbers and data”,UI/UX Design,KEEP
3:34:38 م 2025/10/19,Teaching a computer to learn and make predictions,Making sure it’s safe and protected,How secure is this? Can it be hacked?,Game Design and Development,Automating deployment to multiple servers,"Docker, Kubernetes, AWS",Statistics and Analysis,Designing experiences people like,E-commerce website or mobile app,“I like finding patterns in numbers and data”,UI/UX Design,KEEP
1:51:58 م 2025/10/28,Deploying systems and making them scalable,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Designing a smooth checkout flow for an e-commerce app,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Developing useful applications,3D game with interactive levels,“I enjoy building things people can use”,Application / Web Development,KEEP
2:11:21 م 2025/10/28,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,Web/App Development,Creating a to-do list app that everyone likes,"Python, ML libraries (TensorFlow, PyTorch)",Statistics and Analysis,Developing useful applications,UI redesign of a popular app,“I enjoy building things people can use”,Application / Web Development,KEEP
2:53:26 م 2025/10/28,Finding security flaws before hackers do,Building the main functionality of the app,How can I build something useful with this?,Cybersecurity and Ethical Hacking,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Security and Risk,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
4:19:46 م 2025/10/28,Finding security flaws before hackers do,Making sure it’s safe and protected,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Networking and Systems,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
5:57:41 م 2025/10/28,Building an app or website that people can use,Designing how users will interact with it,How can I make it look and feel amazing?,UI/UX and Interaction Design,Designing a smooth checkout flow for an e-commerce app,"Figma, Adobe XD",Arts and Creative Design,Designing experiences people like,UI redesign of a popular app,“I care about how apps look and feel”,UI/UX Design,KEEP
7:57:44 م 2025/10/28,Creating smooth and beautiful interfaces,Writing the algorithm that makes it smart,How can I build something useful with this?,Cybersecurity and Ethical Hacking,Stopping a simulated cyber-attack,"React, Flutter, Node.js",Security and Risk,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
8:15:34 م 2025/10/28,Teaching a computer to learn and make predictions,Designing game mechanics and levels,How secure is this? Can it be hacked?,Game Design and Development,Building a chatbot that understands users,"Excel, PowerBI, Jupyter Notebooks",Arts and Creative Design,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
10:29:37 م 2025/10/28,Teaching a computer to learn and make predictions,Collecting data and analyzing the results,What data can I gather and analyze from this?,Machine Learning and AI,Predicting future sales using past data,"Python, ML libraries (TensorFlow, PyTorch)",Statistics and Analysis,Turning data into business decisions,AI-based recommendation system,“I like finding patterns in numbers and data”,Artificial Intelligence / Machine Learning,KEEP
12:57:19 ص 2025/10/29,Finding security flaws before hackers do,Designing how users will interact with it,How can I make it look and feel amazing?,Cybersecurity and Ethical Hacking,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Protecting systems from attacks,Penetration testing of a company network,“I like finding patterns in numbers and data”,Cybersecurity,KEEP
7:35:51 ص 2025/10/29,Finding security flaws before hackers do,Building the main functionality of the app,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Building a chatbot that understands users,"React, Flutter, Node.js",Security and Risk,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
2:44:36 م 2025/10/29,Building an app or website that people can use,Designing how users will interact with it,How do I deploy this in the cloud?,Data Science and Big Data Analytics,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Managing infrastructure for millions of users,3D game with interactive levels,“I like finding patterns in numbers and data”,Application / Web Development,KEEP
10:25:36 ص 2025/10/30,Finding security flaws before hackers do,Collecting data and analyzing the results,How can I build something useful with this?,Cybersecurity and Ethical Hacking,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Security and Risk,Protecting systems from attacks,Penetration testing of a company network,"“I think logically and love algorithms""",Cybersecurity,KEEP
